Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
VKL0009;Вязаный кардиган "LIKA" VKL0009;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;темно-синий;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1795-vyazanyj-kardigan-lika-vkl0009.html;http://niko-opt.com/6303-large_default/vyazanyj-kardigan-lika-vkl0009.jpg,;
VKL0010;Вязаный кардиган "LIKA" VKL0010;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;голубой;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1796-vyazanyj-kardigan-lika-vkl0010.html;http://niko-opt.com/6307-large_default/vyazanyj-kardigan-lika-vkl0010.jpg,;
VKL0011;Вязаный кардиган "LIKA" VKL0011;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;капучино;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1797-vyazanyj-kardigan-lika-vkl0011.html;http://niko-opt.com/6311-large_default/vyazanyj-kardigan-lika-vkl0011.jpg,;
VKL0012;Вязаный кардиган "LIKA" VKL0012;Кардиганы вязаные;Длина по спинке -116 см Длина рукава - 60 см;42-50;электрик;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1974-vyazanyj-kardigan-lika-vkl0012.html;http://niko-opt.com/6960-large_default/vyazanyj-kardigan-lika-vkl0012.jpg,;
VKC0001;Вязаный костюм "COLOS" VKC0001;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;темно-зеленый;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1923-vyazanyj-kostyum-colos-vkc0001.html;http://niko-opt.com/6833-large_default/vyazanyj-kostyum-colos-vkc0001.jpg,;
VKC0002;Вязаный костюм "COLOS" VKC0002;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;темно-синий;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1925-vyazanyj-kostyum-colos-vkc0002.html;http://niko-opt.com/6837-large_default/vyazanyj-kostyum-colos-vkc0002.jpg,;
VKC0005;Вязаный костюм "COLOS" VKC0005;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;капучино;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1924-vyazanyj-kostyum-colos-vkc0005.html;http://niko-opt.com/6835-large_default/vyazanyj-kostyum-colos-vkc0005.jpg,;
VKC0007;Вязаный костюм "COLOS" VKC0007;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;джинс;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1926-vyazanyj-kostyum-colos-vkc0007.html;http://niko-opt.com/6839-large_default/vyazanyj-kostyum-colos-vkc0007.jpg,;
VKC0008;Вязаный костюм "COLOS" VKC0008;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;графит;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1927-vyazanyj-kostyum-colos-vkc0008.html;http://niko-opt.com/6841-large_default/vyazanyj-kostyum-colos-vkc0008.jpg,;
VKC0009;Вязаный костюм "COLOS" VKC0009;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;электрик;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1928-vyazanyj-kostyum-colos-vkc0009.html;http://niko-opt.com/6843-large_default/vyazanyj-kostyum-colos-vkc0009.jpg,;
VKC0010;Вязаный костюм "COLOS" VKC0010;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;черный;;483;1278;22;https://niko-opt.com/kostyumy-vyazanye/1930-vyazanyj-kostyum-colos-vkc0010.html;http://niko-opt.com/6848-large_default/vyazanyj-kostyum-colos-vkc0010.jpg,;
